State,INCOMEN,BP10000N
Alaska, 1.18 ,0.672823796
Alabama, 0.84 ,1.359027104
Arkansas, 0.81 ,1.124432543
Arizona, 0.91 ,0.849126674
California, 1.08 ,0.805258582
Colorado, 1.15 ,0.67161808
Connecticut, 1.40 ,1.060441481
Delaware, 1.08 ,0.898167199
Florida, 0.95 ,1.934817117
Georgia, 0.91 ,0.916162706
Hawaii, 1.06 ,0.74510648
Iowa, 1.01 ,0.855277053
Idaho, 0.85 ,0.622886478
Illinois, 1.08 ,0.990045145
Indiana, 0.89 ,1.009526202
Kansas, 0.99 ,0.903169078
Kentucky, 0.84 ,1.314673054
Louisiana, 0.88 ,1.36166986
Massachusetts, 1.30 ,0.963726201
Maryland, 1.29 ,0.768533303
Maine, 1.00 ,0.935451711
Michigan, 0.95 ,0.995471325
Minnesota, 1.16 ,0.802739531
Missouri, 0.93 ,1.158244915
Mississippi, 0.75 ,1.502555451
Montana, 0.92 ,0.885794125
North Carolina, 0.92 ,0.9330213
North Dakota, 1.18 ,1.199018167
Nebraska, 0.98 ,0.911225076
New Hampshire, 1.23 ,0.700648029
New Jersey, 1.33 ,0.954918479
New Mexico, 0.84 ,0.814261044
Nevada, 0.92 ,0.817566258
New York, 1.18 ,1.209616969
Ohio, 0.96 ,1.014819356
Oklahoma, 0.90 ,1.168882017
Oregon, 0.98 ,0.646327896
Pennsylvania, 1.04 ,1.171356052
Puerto Rico, 0.40 ,1.01043189
Rhode Island, 1.10 ,0.979087276
South Carolina, 0.88 ,1.012105787
South Dakota, 0.96 ,1.358590447
Tennessee, 0.89 ,1.243012891
Texas, 0.97 ,0.912430925
Utah, 0.89 ,0.674027807
Virginia, 1.21 ,0.92186294
Vermont, 1.04 ,0.547396734
Washington, 1.13 ,1.644700609
Wisconsin, 1.00 ,0.811804081
West Virginia, 0.81 ,1.373293857
Wyoming, 1.06 ,0.862848918
,,
